game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,ablation,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block0_shift3_seed3_v1_no_all,3,0,3,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_FRANCE,F1909R,40,searchbot,consistent,consistent,searchbot,dipnet,cicero_nopress,dipnet,4,1,19,1,0,5,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,3,0,0,0,2,0,0,2,5,0,0,0,2,1,0,0,0,1,0,4,3,0,0,0,2,0,0,25,57,25,31,35,49,19,51,4,6,18,39,33,35
run_multi_block0_shift0_seed0_v1_no_all,0,0,0,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_ITALY,F1910R,45,dipnet,cicero_nopress,cicero_nopress,dipnet,consistent,searchbot,consistent,0,5,9,0,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,0,0,0,5,1,0,0,0,1,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11,32,38,49,30,47,14,31,40,41,23,28,14,19
run_multi_block0_shift2_seed2_v1_no_all,2,0,2,multi,AUSTRIA,consistent,dipnet,no_all,max_phases,F1914R,60,cicero_nopress,dipnet,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,0,8,0,2,17,7,0.000000,0.000000,0.157635,0.000000,0.009852,0.711823,0.120690,0,0,0,0,0,1,0,0,3,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0,1,4,0,1,6,10,28,38,41,110,16,24,33,59,52,144,40,84
run_multi_block0_shift1_seed1_v1_no_all,1,0,1,multi,AUSTRIA,consistent,dipnet,no_all,max_phases,F1913M,60,consistent,searchbot,searchbot,consistent,cicero_nopress,dipnet,cicero_nopress,0,0,7,8,13,3,3,0.000000,0.000000,0.163333,0.213333,0.563333,0.030000,0.030000,0,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,26,11,21,53,82,42,85,50,70,26,44,29,56
run_multi_block1_shift2_seed1002_v1_no_all,1002,1,2,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_ITALY,F1909R,39,cicero_nopress,searchbot,searchbot,dipnet,consistent,dipnet,cicero_nopress,0,3,10,2,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,5,0,0,0,3,1,0,0,6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,10,11,16,42,15,41,14,44,45,50,13,35,8,22
run_multi_block1_shift0_seed1000_v1_no_all,1000,1,0,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_GERMANY,F1911R,50,consistent,dipnet,dipnet,searchbot,cicero_nopress,searchbot,consistent,0,0,0,18,11,0,5,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,5,1,0,0,2,0,1,0,0,0,0,14,21,4,11,34,56,62,87,37,60,12,18,32,61
run_multi_block1_shift1_seed1001_v1_no_all,1001,1,1,multi,AUSTRIA,consistent,dipnet,no_all,stop_after_W1913A,W1913A,57,dipnet,cicero_nopress,cicero_nopress,consistent,searchbot,consistent,dipnet,0,0,10,6,3,15,0,0.000000,0.000000,0.270270,0.097297,0.024324,0.608108,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,0,0,3,1,0,0,3,0,0,5,16,17,20,33,54,47,65,25,44,56,76,22,47
run_multi_block2_shift3_seed2003_v1_no_all,2003,2,3,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_RUSSIA,F1908R,34,cicero_nopress,cicero_nopress,dipnet,dipnet,searchbot,consistent,consistent,1,3,6,3,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,9,15,8,19,14,33,8,38,17,28,42,60,7,12
run_multi_block2_shift1_seed2001_v1_no_all,2001,2,1,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_FRANCE,F1911R,48,searchbot,searchbot,consistent,consistent,cicero_nopress,dipnet,dipnet,9,0,18,0,7,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,3,2,0,0,2,0,0,0,1,1,0,0,0,2,0,0,1,2,0,0,1,1,0,0,1,0,0,30,72,5,11,49,59,20,41,28,41,32,46,5,10
run_multi_block1_shift3_seed1003_v1_no_all,1003,1,3,multi,AUSTRIA,consistent,dipnet,no_all,stop_after_W1913A,W1913A,58,searchbot,consistent,consistent,cicero_nopress,dipnet,cicero_nopress,searchbot,0,9,11,3,0,2,9,0.000000,0.273649,0.408784,0.030405,0.000000,0.013514,0.273649,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,7,17,41,45,54,118,20,63,5,8,17,49,61,85
run_multi_block2_shift0_seed2000_v1_no_all,2000,2,0,multi,AUSTRIA,consistent,dipnet,no_all,stop_after_W1913A,W1913A,58,dipnet,dipnet,searchbot,searchbot,consistent,cicero_nopress,cicero_nopress,0,0,9,13,5,0,7,0.000000,0.000000,0.250000,0.521605,0.077160,0.000000,0.151235,0,1,0,0,0,0,0,0,7,5,2,0,0,3,0,0,0,3,0,0,0,0,0,0,2,2,0,0,10,15,9,9,46,82,59,97,53,73,10,12,27,64
run_multi_block2_shift2_seed2002_v1_no_all,2002,2,2,multi,AUSTRIA,consistent,dipnet,no_all,max_phases,W1916A,60,consistent,consistent,cicero_nopress,cicero_nopress,dipnet,searchbot,searchbot,0,2,17,0,0,0,15,0.000000,0.007722,0.557915,0.000000,0.000000,0.000000,0.434363,0,0,0,0,0,2,1,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,7,9,17,64,107,181,13,23,14,20,2,2,86,239
run_multi_block3_shift0_seed3000_v1_no_all,3000,3,0,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_ITALY,F1909R,39,cicero_nopress,searchbot,dipnet,searchbot,consistent,consistent,dipnet,0,6,5,2,19,1,1,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0,1,0,0,2,3,2,0,4,4,18,38,20,55,22,56,50,55,17,34,15,19
run_multi_block3_shift1_seed3001_v1_no_all,3001,3,1,multi,AUSTRIA,consistent,dipnet,no_all,solo_18sc_GERMANY,F1912R,52,searchbot,consistent,cicero_nopress,consistent,dipnet,dipnet,cicero_nopress,0,0,1,18,8,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0,0,1,2,0,0,0,2,0,0,2,5,0,0,1,0,0,1,0,0,0,0,2,0,0,19,36,23,32,18,39,46,79,40,98,5,6,21,81
